disN,disE,disD
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.1892,0.35719999999999996,-1.9288999999999998
-0.19190000000000002,0.3605,-1.9225
-0.19190000000000002,0.3605,-1.9225
-0.19190000000000002,0.3605,-1.9225
-0.19190000000000002,0.3605,-1.9225
-0.19190000000000002,0.3605,-1.9225
